,pred_var,true_var
1973-12-17,0.000241184091778524,0.0004506532884734765
1973-12-18,0.000241184091778524,7.124372470856954e-07
1973-12-19,0.000241184091778524,8.131407947184477e-06
1973-12-20,0.000241184091778524,0.00011533992761605938
1973-12-21,0.000241184091778524,4.7135179198729005e-05
1973-12-24,0.000241184091778524,0.0009067649535081657
1973-12-26,0.000241184091778524,0.0004274435458259951
1973-12-27,0.000241184091778524,4.195703146844809e-06
1973-12-28,0.000241184091778524,1.0509691658611153e-08
1973-12-31,0.000241184091778524,1.7735919778799625e-06
1974-01-02,0.000241184091778524,0.00046101902176479137
1974-01-03,0.000241184091778524,8.206447887386392e-05
1974-01-04,0.000241184091778524,7.102661988044046e-05
1974-01-07,0.000241184091778524,0.000403371014002174
1974-01-08,0.000241184091778524,0.0008117915449847302
1974-01-09,0.000241184091778524,0.00012291508078048075
1974-01-10,0.000241184091778524,0.0001863895568181423
1974-01-11,0.000241184091778524,6.5830662962784725e-06
1974-01-14,0.000241184091778524,7.453122962210179e-05
1974-01-15,0.000241184091778524,0.00023001263577088205
1974-01-16,0.000241184091778524,0.00028541465257780896
1974-01-17,0.000241184091778524,0.0003256099975537663
1974-01-18,0.00022423691990486924,2.808117964825385e-06
1974-01-21,0.00022423691990486924,0.00014357863877691168
1974-01-22,0.00022423691990486924,2.8851495891296652e-05
1974-01-23,0.00022423691990486924,6.650122857526641e-06
1974-01-24,0.00022423691990486924,3.858602171849523e-06
1974-01-25,0.00022423691990486924,3.140481288463337e-05
1974-01-28,0.00022423691990486924,6.937217097713333e-07
1974-01-29,0.00022423691990486924,0.00011830893903408413
1974-01-30,0.00022423691990486924,2.561584664631522e-05
1974-01-31,0.00022423691990486924,0.00016974133666539104
1974-02-01,0.00022423691990486924,0.00046340015864003437
1974-02-04,0.00022423691990486924,9.69343278794943e-06
1974-02-05,0.00022423691990486924,7.79413733982548e-06
1974-02-06,0.00022423691990486924,1.838835676226669e-07
1974-02-07,0.00022423691990486924,0.00010922323522132016
1974-02-08,0.00022423691990486924,0.0003331672731603508
1974-02-11,0.00022423691990486924,9.509223477782713e-06
1974-02-12,0.00022423691990486924,1.9338335623120262e-07
1974-02-13,0.00022423691990486924,1.0876617843880165e-07
1974-02-14,0.00022423691990486924,0.00020762379468219905
1974-02-15,0.00022423691990486924,2.6470855201687904e-06
1974-02-19,0.00022423691990486924,0.00020242016639922256
1974-02-20,9.527471984256192e-05,0.0001822519482737317
1974-02-21,9.527471984256192e-05,5.1182004148150884e-05
1974-02-22,9.527471984256192e-05,1.4296867954483039e-05
1974-02-25,9.527471984256192e-05,0.00010313540388195985
1974-02-26,9.527471984256192e-05,1.7289048396387785e-05
1974-02-27,9.527471984256192e-05,3.493031461535012e-06
1974-02-28,9.527471984256192e-05,5.179539824488877e-05
1974-03-01,9.527471984256192e-05,0.0
1974-03-04,9.527471984256192e-05,0.00034462891397478435
1974-03-05,9.527471984256192e-05,4.568216545333681e-05
1974-03-06,9.527471984256192e-05,0.00011387335253970621
1974-03-07,9.527471984256192e-05,7.443939413932787e-05
1974-03-08,9.527471984256192e-05,0.00012514754957242136
1974-03-11,9.527471984256192e-05,7.435772311797928e-06
1974-03-12,9.527471984256192e-05,3.519983817867889e-05
1974-03-13,9.527471984256192e-05,8.149638080490185e-07
1974-03-14,9.527471984256192e-05,1.3837698881524751e-05
1974-03-15,9.527471984256192e-05,0.00015541582269468224
1974-03-18,9.527471984256192e-05,7.053054966289773e-05
1974-03-19,9.527471984256192e-05,1.2185428404712373e-05
1974-03-20,9.527471984256192e-05,5.569905456873081e-06
1974-03-21,9.527471984256192e-05,5.175184096262164e-07
1974-03-22,6.187173984124318e-05,1.4414389055972254e-05
1974-03-25,6.187173984124318e-05,1.0048258819339573e-05
1974-03-26,6.187173984124318e-05,0.0001954943161716488
1974-03-27,6.187173984124318e-05,0.00034205979897036776
1974-03-28,6.187173984124318e-05,7.918087830474652e-05
1974-03-29,6.187173984124318e-05,6.0807792615219514e-05
1974-04-01,6.187173984124318e-05,1.1487798139420136e-06
1974-04-02,6.187173984124318e-05,0.00010906465941193377
1974-04-03,6.187173984124318e-05,0.0
1974-04-04,6.187173984124318e-05,0.0001985917470205406
1974-04-05,6.187173984124318e-05,0.00011219900986481068
1974-04-08,6.187173984124318e-05,3.947001145446216e-05
1974-04-09,6.187173984124318e-05,5.153574368865765e-06
1974-04-10,6.187173984124318e-05,9.210640438864215e-06
1974-04-11,6.187173984124318e-05,5.778542835482847e-07
1974-04-15,6.187173984124318e-05,0.0003006511884219021
1974-04-16,6.187173984124318e-05,5.544367227906799e-05
1974-04-17,6.187173984124318e-05,1.9723919909966914e-05
